Count,Name,Author,Closed,Color,Comments,Drawing Revision Number,EdgeStyleId,FaceStyleId,File Accessed,File Created,File Last Saved By,File Location,File Modified,File Name,File Size,Fit/Smooth,Hyperlink,Hyperlink Base,Keywords,Layer,Length,Linetype,Linetype Scale,Lineweight,Material,Plot Style,Subject,Title,Total Editing Time,VisualStyleId,Area,Center X,Center Y,Center Z,Radius,Start Angle,Thickness,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,Dim Style,DynamicDimension,TextDefinedSize,Height,Obliquing,Position X,Position Y,Position Z,Rotation,Style,Value,Width Factor
1,Line,,,red,,,(0),(0),30/04/2021 12:56:14,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:51:43,226D1CSZ_横断図18.dwg,609164,,,,,D-STR,1.0657,Continuous,1.0000,0.40 mm,ByLayer,Color_1,,,511,(0),,,,,,,0.0000,,,,140,-0.8187,0.6822,0.0000,55.9813,55.1253,0.0000,56.8000,54.4430,0.0000,,,,,,,,,,,,
1,3D Polyline,,False,white,,,(0),(0),30/04/2021 12:56:14,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:51:43,226D1CSZ_横断図18.dwg,609164,None,,,,D-STR-DIM,5.9785,Continuous,1.0000,0.13 mm,ByLayer,Color_7,,,511,(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3D Polyline,,False,white,,,(0),(0),30/04/2021 12:56:14,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:51:43,226D1CSZ_横断図18.dwg,609164,None,,,,D-STR-DIM,1.2166,Continuous,1.0000,0.13 mm,ByLayer,Color_7,,,511,(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Text,,,white,,,(0),(0),30/04/2021 12:56:14,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:51:43,226D1CSZ_横断図18.dwg,609164,,,,,D-STR-DIM,,Continuous,1.0000,0.13 mm,,Color_7,,,511,(0),,,,,,,0.0000,,,,,,,,,,,,,,,,,0.5364,0,88.6543,47.8307,0.0000,0,ＭＳ ゴシック,1500,0.9974
1,Text,,,8,,,(0),(0),30/04/2021 12:56:14,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:51:43,226D1CSZ_横断図18.dwg,609164,,,,,D-BGD-TXT,,Continuous,1.0000,0.13 mm,,Color_8,,,511,(0),,,,,,,0.0000,,,,,,,,,,,,,,,,,0.5364,0,58.5925,43.9136,0.0000,0,ＭＳ ゴシック,土砂,1.0006
1,Text,,,8,,,(0),(0),30/04/2021 12:56:14,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:51:43,226D1CSZ_横断図18.dwg,609164,,,,,D-BGD-TXT,,Continuous,1.0000,0.13 mm,,Color_8,,,511,(0),,,,,,,0.0000,,,,,,,,,,,,,,,,,0.5364,0,58.1138,37.6205,0.0000,0,ＭＳ ゴシック,中硬岩,1.0006
1,Text,,,white,,,(0),(0),30/04/2021 12:56:14,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:51:43,226D1CSZ_横断図18.dwg,609164,,,,,D-STR-DIM,,Continuous,1.0000,0.13 mm,,Color_7,,,511,(0),,,,,,,0.0000,,,,,,,,,,,,,,,,,0.5364,0,48.7508,54.0734,0.0000,0,ＭＳ ゴシック,529.742,1.0000
1,Text,,,white,,,(0),(0),30/04/2021 12:56:14,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:51:43,226D1CSZ_横断図18.dwg,609164,,,,,D-STR-TXT,,Continuous,1.0000,0.13 mm,,Color_7,,,511,(0),,,,,,,0.0000,,,,,,,,,,,,,,,,,0.5364,0,55.4959,55.8535,0.0000,320,ＭＳ ゴシック,1:1.2,1.0000
1,Text,,,white,,,(0),(0),30/04/2021 12:56:14,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:51:43,226D1CSZ_横断図18.dwg,609164,,,,,D-STR-DIM,,Continuous,1.0000,0.13 mm,,Color_7,,,511,(0),,,,,,,0.0000,,,,,,,,,,,,,,,,,0.5364,0,61.4511,50.7991,0.0000,320,ＭＳ ゴシック,10.9,1.0000
1,Text,,,white,,,(0),(0),30/04/2021 12:56:14,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:51:43,226D1CSZ_横断図18.dwg,609164,,,,,D-STR-TXT,,Continuous,1.0000,0.13 mm,,Color_7,,,511,(0),,,,,,,0.0000,,,,,,,,,,,,,,,,,0.5364,0,61.9894,51.7173,0.0000,320,ＭＳ ゴシック,1:1.2,1.0000
1,Text,,,white,,,(0),(0),30/04/2021 12:56:14,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:51:43,226D1CSZ_横断図18.dwg,609164,,,,,D-STR-DIM,,Continuous,1.0000,0.13 mm,,Color_7,,,511,(0),,,,,,,0.0000,,,,,,,,,,,,,,,,,0.5364,0,78.1043,47.8307,0.0000,0,ＭＳ ゴシック,1500,0.9974
1,Line,,,red,,,(0),(0),30/04/2021 12:56:14,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:51:43,226D1CSZ_横断図18.dwg,609164,,,,,D-STR,1.0000,Continuous,1.0000,0.40 mm,ByLayer,Color_1,,,511,(0),,,,,,,0.0000,,,,140,-0.7682,0.6402,0.0000,55.2131,55.7654,0.0000,55.9813,55.1253,0.0000,,,,,,,,,,,,
1,Text,,,white,,,(0),(0),30/04/2021 12:56:14,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:51:43,226D1CSZ_横断図18.dwg,609164,,,,,D-STR-DIM,,Continuous,1.0000,0.13 mm,,Color_7,,,511,(0),,,,,,,0.0000,,,,,,,,,,,,,,,,,0.5364,0,55.0917,54.8236,0.0000,320,ＭＳ ゴシック,3.0,1.0000
1,Line,,,red,,,(0),(0),30/04/2021 12:56:14,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:51:43,226D1CSZ_横断図18.dwg,609164,,,,,D-STR-STRB,0.0356,Continuous,1.0000,0.25 mm,ByLayer,Color_1,,,511,(0),,,,,,,0.0000,,,,45,0.0251,0.0251,0.0000,67.3751,47.2357,0.0000,67.3500,47.2105,0.0000,,,,,,,,,,,,
1,Line,,,red,,,(0),(0),30/04/2021 12:56:14,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:51:43,226D1CSZ_横断図18.dwg,609164,,,,,D-STR-STRB,0.1749,Continuous,1.0000,0.25 mm,ByLayer,Color_1,,,511,(0),,,,,,,0.0000,,,,268,-0.0049,-0.1749,0.0000,67.3751,47.2357,0.0000,67.3800,47.4105,0.0000,,,,,,,,,,,,
1,Line,,,red,,,(0),(0),30/04/2021 12:56:14,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:51:43,226D1CSZ_横断図18.dwg,609164,,,,,D-STR-STRB,0.0141,Continuous,1.0000,0.25 mm,ByLayer,Color_1,,,511,(0),,,,,,,0.0000,,,,225,-0.0100,-0.0100,0.0000,67.3800,47.4105,0.0000,67.3900,47.4205,0.0000,,,,,,,,,,,,
