Count,Name,Author,Closed,Color,Comments,Drawing Revision Number,EdgeStyleId,FaceStyleId,File Accessed,File Created,File Last Saved By,File Location,File Modified,File Name,File Size,Fit/Smooth,Hyperlink,Hyperlink Base,Keywords,Layer,Length,Linetype,Linetype Scale,Lineweight,Material,Plot Style,Subject,Title,Total Editing Time,VisualStyleId,Area,Center X,Center Y,Center Z,Radius,Start Angle,Thickness,Total Angle,Circumference,Diameter,Angle1,Associative,BackgroundColor,Double,Origin X,Origin Y,Pattern Name,Scale,Spacing,Type,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,Dim Style,DynamicDimension,TextDefinedSize,Height,Obliquing,Position X,Position Y,Position Z,Rotation,Style,Value,Width Factor
1,Line,,,red,,,(0),(0),30/04/2021 12:51:47,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:28:54,233D1CSZ_横断図25.dwg,482143,,,,,D-STR-STRB,0.0300,Continuous,1.0000,0.25 mm,ByLayer,Color_1,,,138,(0),,,,,,,0.0000,,,,,,,,,,,,,,270,0.0000,-0.0300,0.0000,30.9095,64.0863,0.0000,30.9095,64.1163,0.0000,,,,,,,,,,,,
1,Line,,,red,,,(0),(0),30/04/2021 12:51:47,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:28:54,233D1CSZ_横断図25.dwg,482143,,,,,D-STR,2.3130,Continuous,1.0000,0.40 mm,ByLayer,Color_1,,,138,(0),,,,,,,0.0000,,,,,,,,,,,,,,183,-2.3100,-0.1175,0.0000,41.1900,57.1409,0.0000,43.5000,57.2584,0.0000,,,,,,,,,,,,
1,Line,,,red,,,(0),(0),30/04/2021 12:51:47,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:28:54,233D1CSZ_横断図25.dwg,482143,,,,,D-STR-STRB,0.1500,Continuous,1.0000,0.25 mm,ByLayer,Color_1,,,138,(0),,,,,,,0.0000,,,,,,,,,,,,,,0,0.1500,0.0000,0.0000,52.4000,50.0005,0.0000,52.2500,50.0005,0.0000,,,,,,,,,,,,
1,Line,,,red,,,(0),(0),30/04/2021 12:51:47,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:28:54,233D1CSZ_横断図25.dwg,482143,,,,,D-STR-STRB,0.3000,Continuous,1.0000,0.25 mm,ByLayer,Color_1,,,138,(0),,,,,,,0.0000,,,,,,,,,,,,,,0,0.3000,0.0000,0.0000,52.5500,50.0005,0.0000,52.2500,50.0005,0.0000,,,,,,,,,,,,
1,Line,,,red,,,(0),(0),30/04/2021 12:51:47,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:28:54,233D1CSZ_横断図25.dwg,482143,,,,,D-STR-STRB,0.0300,Continuous,1.0000,0.25 mm,ByLayer,Color_1,,,138,(0),,,,,,,0.0000,,,,,,,,,,,,,,270,0.0000,-0.0300,0.0000,40.8100,57.1109,0.0000,40.8100,57.1409,0.0000,,,,,,,,,,,,
1,Line,,,red,,,(0),(0),30/04/2021 12:51:47,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:28:54,233D1CSZ_横断図25.dwg,482143,,,,,D-STR-STRB,0.1749,Continuous,1.0000,0.25 mm,ByLayer,Color_1,,,138,(0),,,,,,,0.0000,,,,,,,,,,,,,,268,-0.0049,-0.1749,0.0000,41.1751,56.9260,0.0000,41.1800,57.1009,0.0000,,,,,,,,,,,,
1,Line,,,red,,,(0),(0),30/04/2021 12:51:47,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:28:54,233D1CSZ_横断図25.dwg,482143,,,,,D-STR-STRB,0.0141,Continuous,1.0000,0.25 mm,ByLayer,Color_1,,,138,(0),,,,,,,0.0000,,,,,,,,,,,,,,225,-0.0100,-0.0100,0.0000,41.1800,57.1009,0.0000,41.1900,57.1109,0.0000,,,,,,,,,,,,
1,Line,,,red,,,(0),(0),30/04/2021 12:51:47,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:28:54,233D1CSZ_横断図25.dwg,482143,,,,,D-STR-STRB,0.0300,Continuous,1.0000,0.25 mm,ByLayer,Color_1,,,138,(0),,,,,,,0.0000,,,,,,,,,,,,,,270,0.0000,-0.0300,0.0000,41.1900,57.1109,0.0000,41.1900,57.1409,0.0000,,,,,,,,,,,,
1,Line,,,red,,,(0),(0),30/04/2021 12:51:47,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:28:54,233D1CSZ_横断図25.dwg,482143,,,,,D-STR-STRB,0.0141,Continuous,1.0000,0.25 mm,ByLayer,Color_1,,,138,(0),,,,,,,0.0000,,,,,,,,,,,,,,315,0.0100,-0.0100,0.0000,52.2200,50.2005,0.0000,52.2100,50.2105,0.0000,,,,,,,,,,,,
1,Line,,,red,,,(0),(0),30/04/2021 12:51:47,30/04/2021 10:37:05,CINPC0075,C:\Users\CINPC0075\Desktop\Repo-KCIN3D-reconstruction\DWGs_Road_Assemblies,30/04/2021 12:28:54,233D1CSZ_横断図25.dwg,482143,,,,,D-STR-STRB,0.0141,Continuous,1.0000,0.25 mm,ByLayer,Color_1,,,138,(0),,,,,,,0.0000,,,,,,,,,,,,,,225,-0.0100,-0.0100,0.0000,52.5800,50.2005,0.0000,52.5900,50.2105,0.0000,,,,,,,,,,,,
